Ques_ID_Prompt,Model,Model_Category,Question_Category,Answer_Rating_0_5,Electricity_consumption_Wh,CO2_Emission_gm,Inference_Timing_sec
1,Gemma 3nb,Small,Easy Factual,4,0.19,0.12,1.9
1,Llama 3.1 8b,Small,Easy Factual,5,9,6,3
1,Mistral Small,Medium,Easy Factual,4,0.77,0.44,2.8
1,GPT 20 OSS,Medium,Easy Factual,5,0.37,0.23,2.5
1,GPT 5,Large,Easy Factual,5,1.52,0.93,12
1,DeepSeek R1,Large,Easy Factual,4,18,11,15
2,Gemma 3nb,Small,Easy Factual,5,0.29,0.18,4
2,Llama 3.1 8b,Small,Easy Factual,1,15,9,4
2,Mistral Small,Medium,Easy Factual,5,0.33,0.2,2
2,GPT 20 OSS,Medium,Easy Factual,4,1.25,0.77,3
2,GPT 5,Large,Easy Factual,5,15,9,4
2,DeepSeek R1,Large,Easy Factual,1,37,23,3.5
3,Gemma 3nb,Small,Easy Factual,5,1.13,0.7,4
3,Llama 3.1 8b,Small,Easy Factual,4,11,6,5
3,Mistral Small,Medium,Easy Factual,4,2,1.26,3
3,GPT 20 OSS,Medium,Easy Factual,5,1.11,0.68,4
3,GPT 5,Large,Easy Factual,4,39,24,5
3,DeepSeek R1,Large,Easy Factual,5,54,33,6
4,Gemma 3nb,Small,Easy Factual,5,0.75,0.46,3.5
4,Llama 3.1 8b,Small,Easy Factual,4,5,3,4.5
4,Mistral Small,Medium,Easy Factual,5,1.31,0.8,2.5
4,GPT 20 OSS,Medium,Easy Factual,4,0.94,0.58,3
4,GPT 5,Large,Easy Factual,5,5,3,2.5
4,DeepSeek R1,Large,Easy Factual,4,26,16,3
5,Gemma 3nb,Small,Easy Factual,5,0.13,0.08,3.5
5,Llama 3.1 8b,Small,Easy Factual,3,7,5,4.7
5,Mistral Small,Medium,Easy Factual,5,0.23,0.14,3
5,GPT 20 OSS,Medium,Easy Factual,4,0.49,0.3,4.1
5,GPT 5,Large,Easy Factual,5,1.19,0.73,3
5,DeepSeek R1,Large,Easy Factual,4,26,16,2
6,Gemma 3nb,Small,Easy Factual,5,2,1.53,2
6,Llama 3.1 8b,Small,Easy Factual,4,14,9,3
6,Mistral Small,Medium,Easy Factual,5,5,3,4
6,GPT 20 OSS,Medium,Easy Factual,4,4,3,3.5
6,GPT 5,Large,Easy Factual,4,31,29,3
6,DeepSeek R1,Large,Easy Factual,5,19,18,4
7,Gemma 3nb,Small,Easy Factual,5,0.25,0.16,2
7,Llama 3.1 8b,Small,Easy Factual,3,5,3,3
7,Mistral Small,Medium,Easy Factual,4,0.7,0.43,2.5
7,GPT 20 OSS,Medium,Easy Factual,3,0.42,0.26,4.5
7,GPT 5,Large,Easy Factual,2,5,3,12
7,DeepSeek R1,Large,Easy Factual,1,35,22,13.5
8,Gemma 3nb,Small,Easy Factual,4,1.03,10,11.5
8,Llama 3.1 8b,Small,Easy Factual,5,0.63,6,12
8,Mistral Small,Medium,Easy Factual,3,2,1.35,4
8,GPT 20 OSS,Medium,Easy Factual,4,0.99,0.61,5
8,GPT 5,Large,Easy Factual,3,24,15,3.5
8,DeepSeek R1,Large,Easy Factual,2,39,24,4.5
9,Gemma 3nb,Small,Easy Factual,4,0.55,0.34,6
9,Llama 3.1 8b,Small,Easy Factual,2,3,2,6.5
9,Mistral Small,Medium,Easy Factual,5,0.39,0.24,2
9,GPT 20 OSS,Medium,Easy Factual,4,0.83,0.51,2.5
9,GPT 5,Large,Easy Factual,3,6,4,11
9,DeepSeek R1,Large,Easy Factual,3,30,19,13
10,Gemma 3nb,Small,Easy Factual,4,0.91,0.56,8
10,Llama 3.1 8b,Small,Easy Factual,3,15,9,8.5
10,Mistral Small,Medium,Easy Factual,2,1.45,0.89,11
10,GPT 20 OSS,Medium,Easy Factual,4,0.72,0.45,12.4
10,GPT 5,Large,Easy Factual,2,31,19,11
10,DeepSeek R1,Large,Easy Factual,5,39,24,12
11,Gemma 3nb,Small,Reasoning & Quantitative,5,0.77,0.47,11
11,Llama 3.1 8b,Small,Reasoning & Quantitative,3,9,5,12
11,Mistral Small,Medium,Reasoning & Quantitative,3,6,4,9.5
11,GPT 20 OSS,Medium,Reasoning & Quantitative,4,3,1.91,10
11,GPT 5,Large,Reasoning & Quantitative,2,11,7,152
11,DeepSeek R1,Large,Reasoning & Quantitative,1,168,103,150
12,Gemma 3nb,Small,Reasoning & Quantitative,5,1.09,0.67,14
12,Llama 3.1 8b,Small,Reasoning & Quantitative,3,8,5,15
12,Mistral Small,Medium,Reasoning & Quantitative,4,4,2,11.5
12,GPT 20 OSS,Medium,Reasoning & Quantitative,3,4,2,12.4
12,GPT 5,Large,Reasoning & Quantitative,4,11,7,68
12,DeepSeek R1,Large,Reasoning & Quantitative,1,103,63,68.5
13,Gemma 3nb,Small,Reasoning & Quantitative,4,0.88,0.54,25.8
13,Llama 3.1 8b,Small,Reasoning & Quantitative,0,27,16,26
13,Mistral Small,Medium,Reasoning & Quantitative,2,4,2,10.5
13,GPT 20 OSS,Medium,Reasoning & Quantitative,2,3,1.98,11.5
13,GPT 5,Large,Reasoning & Quantitative,0,43,97,127
13,DeepSeek R1,Large,Reasoning & Quantitative,3,159,26,126.5
14,Gemma 3nb,Small,Reasoning & Quantitative,5,0.99,0.61,5.6
14,Llama 3.1 8b,Small,Reasoning & Quantitative,3,7,4,6.9
14,Mistral Small,Medium,Reasoning & Quantitative,2,1.37,0.84,3.5
14,GPT 20 OSS,Medium,Reasoning & Quantitative,4,0.37,0.23,4
14,GPT 5,Large,Reasoning & Quantitative,4,14,9,6.5
14,DeepSeek R1,Large,Reasoning & Quantitative,3,38,24,7
15,Gemma 3nb,Small,Reasoning & Quantitative,5,0.59,0.36,1.5
15,Llama 3.1 8b,Small,Reasoning & Quantitative,2,7,4,1.6
15,Mistral Small,Medium,Reasoning & Quantitative,3,2,1.33,9
15,GPT 20 OSS,Medium,Reasoning & Quantitative,4,1.97,1.22,9.5
15,GPT 5,Large,Reasoning & Quantitative,3,22,13,21
15,DeepSeek R1,Large,Reasoning & Quantitative,2,37,23,21.5
16,Gemma 3nb,Small,Programming & debug.,2,1.14,0.7,0.5
16,Llama 3.1 8b,Small,Programming & debug.,4,1.3,0.8,0.6
16,Mistral Small,Medium,Programming & debug.,5,1.59,0.98,20
16,GPT 20 OSS,Medium,Programming & debug.,3,0.86,0.53,10
16,GPT 5,Large,Programming & debug.,5,14,9,19
16,DeepSeek R1,Large,Programming & debug.,2,17,10,14
17,Gemma 3nb,Small,Programming & debug.,5,0.38,0.23,0.2
17,Llama 3.1 8b,Small,Programming & debug.,2,1.02,0.63,0.3
17,Mistral Small,Medium,Programming & debug.,5,0.66,0.4,2
17,GPT 20 OSS,Medium,Programming & debug.,2,1.21,0.75,4
17,GPT 5,Large,Programming & debug.,3,13,8,19
17,DeepSeek R1,Large,Programming & debug.,5,79,48,16
18,Gemma 3nb,Small,Programming & debug.,3,2,1.26,5
18,Llama 3.1 8b,Small,Programming & debug.,3,1.45,0.9,5
18,Mistral Small,Medium,Programming & debug.,3,1.74,1.07,3
18,GPT 20 OSS,Medium,Programming & debug.,5,4,2,5
18,GPT 5,Large,Programming & debug.,3,33,20,10
18,DeepSeek R1,Large,Programming & debug.,5,63,39,10
19,Gemma 3nb,Small,Programming & debug.,3,3,1.86,7
19,Llama 3.1 8b,Small,Programming & debug.,5,2,1.49,7
19,Mistral Small,Medium,Programming & debug.,5,1.82,1.12,8
19,GPT 20 OSS,Medium,Programming & debug.,3,6,4,12
19,GPT 5,Large,Programming & debug.,3,44,27,10
19,DeepSeek R1,Large,Programming & debug.,5,79,48,10
20,Gemma 3nb,Small,Programming & debug.,3,3,2,10
20,Llama 3.1 8b,Small,Programming & debug.,5,2,1.23,10
20,Mistral Small,Medium,Programming & debug.,3,2,1.33,7
20,GPT 20 OSS,Medium,Programming & debug.,5,4,2,10
20,GPT 5,Large,Programming & debug.,3,30,18,60
20,DeepSeek R1,Large,Programming & debug.,5,58,36,60
21,Gemma 3nb,Small,HarderKnowledge & Reasoning,2,2,1.46,5
21,Llama 3.1 8b,Small,HarderKnowledge & Reasoning,5,1.56,0.96,5
21,Mistral Small,Medium,HarderKnowledge & Reasoning,5,3,1.63,10
21,GPT 20 OSS,Medium,HarderKnowledge & Reasoning,3,1.82,1.12,10
21,GPT 5,Large,HarderKnowledge & Reasoning,3,34,20,50
21,DeepSeek R1,Large,HarderKnowledge & Reasoning,5,62,38,50
22,Gemma 3nb,Small,HarderKnowledge & Reasoning,3,7,4,3
22,Llama 3.1 8b,Small,HarderKnowledge & Reasoning,5,3,1.8,3
22,Mistral Small,Medium,HarderKnowledge & Reasoning,5,5,3,5
22,GPT 20 OSS,Medium,HarderKnowledge & Reasoning,3,12,7,10
22,GPT 5,Large,HarderKnowledge & Reasoning,3,88,54,27
22,DeepSeek R1,Large,HarderKnowledge & Reasoning,5,72,44,22
23,Gemma 3nb,Small,HarderKnowledge & Reasoning,2,0.99,0.61,4
23,Llama 3.1 8b,Small,HarderKnowledge & Reasoning,5,1.15,1.87,4
23,Mistral Small,Medium,HarderKnowledge & Reasoning,5,1.65,1.01,1
23,GPT 20 OSS,Medium,HarderKnowledge & Reasoning,3,1.02,0.63,2
23,GPT 5,Large,HarderKnowledge & Reasoning,3,40,25,30
23,DeepSeek R1,Large,HarderKnowledge & Reasoning,5,33,20,30
24,Gemma 3nb,Small,HarderKnowledge & Reasoning,3,6,4,15
24,Llama 3.1 8b,Small,HarderKnowledge & Reasoning,5,5,3,15
24,Mistral Small,Medium,HarderKnowledge & Reasoning,3,1.65,1.01,0
24,GPT 20 OSS,Medium,HarderKnowledge & Reasoning,5,1.04,0.64,0
24,GPT 5,Large,HarderKnowledge & Reasoning,3,93,57,25
24,DeepSeek R1,Large,HarderKnowledge & Reasoning,5,118,72,20
25,Gemma 3nb,Small,HarderKnowledge & Reasoning,3,3,1.86,30
25,Llama 3.1 8b,Small,HarderKnowledge & Reasoning,5,1.83,1.13,30
25,Mistral Small,Medium,HarderKnowledge & Reasoning,3,6,3,5
25,GPT 20 OSS,Medium,HarderKnowledge & Reasoning,2,12,8,10
25,GPT 5,Large,HarderKnowledge & Reasoning,3,35,21,28
25,DeepSeek R1,Large,HarderKnowledge & Reasoning,5,40,25,23
26,Gemma 3nb,Small,Advanced/Creative & Multi-Step,5,6,4,54
26,Llama 3.1 8b,Small,Advanced/Creative & Multi-Step,3,4,3,30
26,Mistral Small,Medium,Advanced/Creative & Multi-Step,5,2,1.53,14
26,GPT 20 OSS,Medium,Advanced/Creative & Multi-Step,3,3,1.92,20
26,GPT 5,Large,Advanced/Creative & Multi-Step,3,141,86,43
26,DeepSeek R1,Large,Advanced/Creative & Multi-Step,5,56,34,40
27,Gemma 3nb,Small,Advanced/Creative & Multi-Step,3,1.22,0.75,8
27,Llama 3.1 8b,Small,Advanced/Creative & Multi-Step,5,1.37,0.84,8
27,Mistral Small,Medium,Advanced/Creative & Multi-Step,3,3,1.7,8
27,GPT 20 OSS,Medium,Advanced/Creative & Multi-Step,5,2,1.39,8
27,GPT 5,Large,Advanced/Creative & Multi-Step,3,58,35,29
27,DeepSeek R1,Large,Advanced/Creative & Multi-Step,5,54,33,24
28,Gemma 3nb,Small,Advanced/Creative & Multi-Step,3,0.73,0.45,5
28,Llama 3.1 8b,Small,Advanced/Creative & Multi-Step,5,1.34,0.83,5
28,Mistral Small,Medium,Advanced/Creative & Multi-Step,5,1.14,0.7,2
28,GPT 20 OSS,Medium,Advanced/Creative & Multi-Step,3,0.7,0.43,3
28,GPT 5,Large,Advanced/Creative & Multi-Step,5,19,32,35
28,DeepSeek R1,Large,Advanced/Creative & Multi-Step,3,23,14,30
29,Gemma 3nb,Small,Advanced/Creative & Multi-Step,3,4,2,10
29,Llama 3.1 8b,Small,Advanced/Creative & Multi-Step,5,3,1.62,10
29,Mistral Small,Medium,Advanced/Creative & Multi-Step,3,3,2,3
29,GPT 20 OSS,Medium,Advanced/Creative & Multi-Step,5,8,5,3
29,GPT 5,Large,Advanced/Creative & Multi-Step,3,105,64,33
29,DeepSeek R1,Large,Advanced/Creative & Multi-Step,5,86,53,28
30,Gemma 3nb,Small,Advanced/Creative & Multi-Step,5,1.38,0.85,5
30,Llama 3.1 8b,Small,Advanced/Creative & Multi-Step,3,1.4,0.86,5
30,Mistral Small,Medium,Advanced/Creative & Multi-Step,3,1.53,0.94,3
30,GPT 20 OSS,Medium,Advanced/Creative & Multi-Step,5,2,1.32,3
30,GPT 5,Large,Advanced/Creative & Multi-Step,3,48,29,16
30,DeepSeek R1,Large,Advanced/Creative & Multi-Step,5,54,33,10
